filtering_parameter,n_edges,modularity,criterion
"0,0",1711,"0,0163560331142536","6,8285313479338265"
"0,05",1711,"0,0163560331142536","6,8285313479338265"
"0,1",1705,"0,01739911402285499","6,972554607615072"
"0,15000000000000002",1655,"0,02052462706860214","6,972554607615072"
"0,2",1580,"0,024508156943389925","6,964105228780537"
"0,25",1497,"0,02947675815911832","7,173312774972337"
"0,30000000000000004",1372,"0,04196087845162588","7,13076981547165"
"0,35000000000000003",1273,"0,054078293955826084","7,092324767316597"
"0,4",1156,"0,06661776867899785","6,85116190444392"
"0,45",1018,"0,08801551606026065","6,554232741473503"
"0,5",900,"0,10285041588532379","6,48654014706417"
"0,55",744,"0,1099930185705742","5,955432630777768"
"0,6000000000000001",603,"0,12212580330236647","3,6218624575428175"
"0,65",476,"0,18320409419884953","3,4693894093323316"
"0,7000000000000001",324,"0,26006356955631993","3,225667996120651"
"0,75",211,"0,32801077448798116","3,5700507073205894"
"0,8",95,"0,3881988091675981","3,4525848684065967"
"0,8500000000000001",35,"0,4656753169524349","6,364193354774276"
"0,9",11,"0,2173973825104105","9,039457428888769"
