year,community,n_students,n_solved_exercises,ns_solved_exercises,n_tried_exercises,ns_tried_exercises,n_attemps,ns_attemps,means_solving_times
2018,0,23,40,"23,04 (+-3,70)",28,"2,87 (+-2,19)",1039,"45,17 (+-17,44)","90,82 (+-37,07)"
2018,1,14,49,"37,14 (+-5,04)",19,"1,79 (+-1,70)",772,"55,14 (+-8,41)","65,00 (+-17,76)"
2018,2,4,20,"13,25 (+-1,48)",5,"1,25 (+-1,09)",88,"22,00 (+-2,55)","83,05 (+-20,70)"
2018,3,2,12,"10,00 (+-0,00)",7,"3,50 (+-1,50)",56,"28,00 (+-2,00)","128,02 (+-3,54)"
2018,4,2,5,"4,00 (+-0,00)",1,"0,50 (+-0,50)",27,"13,50 (+-2,50)","150,97 (+-5,16)"
2018,s. c.,12,37,"5,92 (+-5,11)",11,"1,42 (+-1,80)",147,"12,25 (+-9,63)","103,31 (+-69,40)"
2019,0,8,33,"17,38 (+-3,00)",19,"3,13 (+-2,89)",263,"32,88 (+-18,06)","91,01 (+-24,48)"
2019,1,3,15,"10,67 (+-0,47)",2,"0,67 (+-0,94)",63,"21,00 (+-2,94)","89,51 (+-16,51)"
2019,2,2,20,"16,00 (+-1,00)",6,"3,00 (+-2,00)",58,"29,00 (+-3,00)","78,81 (+-15,99)"
2019,3,22,45,"27,41 (+-2,44)",28,"2,41 (+-1,83)",1032,"46,91 (+-9,80)","79,33 (+-17,51)"
2019,4,15,54,"40,87 (+-4,83)",13,"1,27 (+-1,44)",889,"59,27 (+-7,06)","60,82 (+-13,37)"
2019,s. c.,9,35,"10,67 (+-4,08)",23,"3,78 (+-4,34)",181,"20,11 (+-7,64)","77,44 (+-30,45)"
2021,0,11,45,"27,18 (+-9,23)",25,"4,18 (+-2,98)",510,"46,36 (+-15,60)","66,89 (+-16,38)"
2021,1,3,15,"11,00 (+-0,82)",3,"1,33 (+-0,94)",62,"20,67 (+-2,87)","77,75 (+-10,60)"
2021,2,4,7,"3,75 (+-2,17)",4,"1,00 (+-0,71)",31,"7,75 (+-4,32)","117,12 (+-2,82)"
2021,3,13,51,"42,62 (+-3,75)",20,"2,38 (+-2,27)",889,"68,38 (+-17,74)","63,93 (+-16,12)"
2021,4,2,22,"17,00 (+-0,00)",3,"2,00 (+-0,00)",70,"35,00 (+-0,00)","86,76 (+-9,25)"
2021,5,2,4,"3,50 (+-0,50)",4,"2,50 (+-1,50)",21,"10,50 (+-5,50)","99,83 (+-14,29)"
2021,s. c.,11,38,"12,00 (+-6,38)",23,"3,27 (+-1,81)",290,"26,36 (+-10,40)","87,71 (+-27,57)"
2022,0,15,48,"40,73 (+-4,20)",10,"0,93 (+-0,93)",923,"61,53 (+-12,99)","68,37 (+-18,98)"
2022,1,10,43,"30,60 (+-1,96)",13,"1,50 (+-0,92)",433,"43,30 (+-3,74)","71,27 (+-11,14)"
2022,2,16,39,"21,81 (+-2,58)",18,"1,75 (+-1,48)",540,"33,75 (+-6,98)","78,58 (+-11,89)"
2022,s. c.,11,36,"12,18 (+-5,84)",18,"1,91 (+-1,88)",241,"21,91 (+-11,97)","78,88 (+-18,93)"
2023,0,2,37,"30,50 (+-1,50)",9,"4,50 (+-2,50)",88,"44,00 (+-4,00)","59,37 (+-17,41)"
2023,1,4,25,"15,75 (+-0,83)",4,"1,25 (+-0,83)",105,"26,25 (+-5,72)","84,37 (+-16,73)"
2023,2,14,53,"44,93 (+-4,04)",11,"1,29 (+-0,96)",880,"62,86 (+-7,08)","55,13 (+-12,16)"
2023,3,14,44,"23,71 (+-6,92)",19,"2,00 (+-2,07)",545,"38,93 (+-11,68)","74,08 (+-16,75)"
2023,4,11,47,"34,82 (+-2,44)",13,"1,82 (+-1,64)",646,"58,73 (+-8,20)","74,88 (+-14,78)"
2023,5,2,9,"7,50 (+-0,50)",3,"1,50 (+-0,50)",34,"17,00 (+-4,00)","106,67 (+-11,52)"
2023,s. c.,13,47,"11,69 (+-7,19)",20,"2,77 (+-1,80)",303,"23,31 (+-10,73)","108,33 (+-36,61)"
